,Location,TotalFatalInjuries,pop,Scaled_Fatalities
2863,"nageezi, nm",3.0,14660.0,0.00020463847203274215
2877,"nashville, tn",3.0,4103162.0,7.311434449821869e-07
4301,"valley view, tx",3.0,10522.0,0.00028511689792815053
4302,"valparaiso, fl",3.0,40755.0,7.36105999263894e-05
2388,"livermore, ca",3.0,571988.0,5.244865276893921e-06
1316,"essex, ca",3.0,36148.0,8.299214341042382e-05
1297,"enterprise, or",3.0,99801.0,3.005981903988938e-05
2896,"near challis, id",3.0,156263.0,1.919840269289595e-05
1261,"elkin, nc",3.0,15912.0,0.0001885369532428356
1245,"el portal, ca",3.0,57566.0,5.211409512559497e-05
3626,"rock springs, wy",3.0,397249.0,7.551938456736203e-06
1433,"fort lupton, co",3.0,33617.0,8.92405628104828e-05
2808,"mountain view, mo",3.0,11481.0,0.0002613012803762738
1524,"gainesville, fl",3.0,7830321.0,3.831260557517374e-07
4253,"tulsa, ok",3.0,1958696.0,1.5316312485449502e-06
1740,"hana, hi",3.0,19892.0,0.00015081439774783834
4240,"truckee, ca",3.0,741921.0,4.043557198138346e-06
3742,"san pedro, ca",3.0,462270.0,6.489713803621261e-06
2690,"millhaven, ga",3.0,64842.0,4.626630887387804e-05
4248,"tulare, ca",3.0,79398.0,3.778432706113504e-05
1629,"grand island, ny",3.0,10080.0,0.00029761904761904765
4267,"twin lake, mi",3.0,40630.0,7.383706620723603e-05
2720,"missoula, mt",3.0,1605801.0,1.8682265112551307e-06
2699,"miltona, mn",3.0,64661.0,4.639581819025379e-05
4272,"ukiah, ca",3.0,398045.0,7.536836287354445e-06
1597,"gold run, ca",3.0,224625.0,1.335559265442404e-05
4283,"unknown, fl",3.0,47264.0,6.347325660121869e-05
3718,"salt flat, tx",3.0,12674.0,0.00023670506548840146
1527,"gaithersburg, md",3.0,403706.0,7.431150391621626e-06
1911,"hopkinsville, ky",3.0,21222.0,0.0001413627367825841
0,,3.0,272497.0,1.1009295515179983e-05
15,"2nm e. of blyn, wa",3.0,8887.0,0.00033757173399347364
27,"3nm east of mar, ut",3.0,14569.0,0.00020591667238657423
281,"bakersfield, ca",3.0,16358948.0,1.8338587542426323e-07
77,"agoura, ca",3.0,540111.0,5.554413814938041e-06
14,"28 mi ene ogden, ut",3.0,15771.0,0.00019022256039566293
81,"ainsworth, ne",3.0,171233.0,1.7519987385609082e-05
225,"astatula, fl",3.0,18244.0,0.0001644376233282175
334,"beaufort, sc",3.0,45289.0,6.624125063481198e-05
288,"bancroft, ia",3.0,272079.0,1.1026209299504923e-05
26,"3m se of benton, mo",3.0,12446.0,0.00024104129840912743
374,"benson, nc",3.0,448064.0,6.6954720754177974e-06
4120,"syria, va",2.0,23955.0,8.348987685243165e-05
3143,"odell, il",2.0,9173.0,0.00021803117845851957
2358,"lincoln, ca",2.0,363099.0,5.508139653372772e-06
2355,"lime village, ak",2.0,23998.0,8.33402783565297e-05
2520,"manzanita, or",2.0,13199.0,0.00015152663080536405
1115,"diamond lake, or",2.0,20904.0,9.567546880979717e-05
1116,"dickson, tn",2.0,12945.0,0.0001544998068752414
4121,"tabernash, co",2.0,6764.0,0.00029568302779420464
4103,"susanville, ca",2.0,569369.0,3.5126605066310247e-06
2345,"lexington, tn",2.0,299780.0,6.671559143371806e-06
3502,"provo, ut",2.0,1262522.0,1.5841308111858645e-06
2343,"lexington, nc",2.0,112236.0,1.7819594426030862e-05
3155,"oklahoma city, ok",2.0,67743.0,2.9523345585521752e-05
4095,"sunland, ca",2.0,62075.0,3.2219089810712846e-05
4091,"sunbury, pa",2.0,7374.0,0.00027122321670735016
3152,"ojai, ca",2.0,147996.0,1.3513878753479824e-05
2370,"liscomb, ia",2.0,99751.0,2.0049924311535724e-05
4127,"talladega, al",2.0,60337.0,3.314715680262525e-05
1167,"dulce, nm",2.0,80444.0,2.4862015812242056e-05
4175,"thomasville, ga",2.0,502965.0,3.976419830405694e-06
1044,"dayton, nv",2.0,193852.0,1.0317149165342633e-05
1045,"dayton, oh",2.0,658074.0,3.039171886444382e-06
3111,"nulato, ak",2.0,290470.0,6.885392639515268e-06
3115,"nw.of abingdon, va",2.0,54104.0,3.696584356055005e-05
1058,"decatur, mi",2.0,967722.0,2.0667092408770286e-06
4153,"temecula, ca",2.0,1068951.0,1.8709931512295699e-06
3122,"oakes, nd",2.0,29468.0,6.787023211619383e-05
1068,"defiance, oh",2.0,648455.0,3.0842541116962627e-06
4150,"tehachapi, ca",2.0,275772.0,7.252367898118736e-06
2384,"littleton, ma",2.0,37992.0,5.264266161297115e-05
1075,"deland, fl",2.0,74599.0,2.6810010858054397e-05
3130,"ocala, fl",2.0,326309.0,6.129159784130992e-06
1086,"delmar, md",2.0,34886.0,5.732958780026372e-05
3136,"oceanside, ca",2.0,2157629.0,9.269434179833512e-07
1163,"dubuque, ia",2.0,390025.0,5.127876418178322e-06
1173,"dunbar, wv",2.0,13606.0,0.00014699397324709687
1168,"duluth, ga",2.0,95660.0,2.090738030524775e-05
3199,"ormond beach, fl",2.0,109921.0,1.8194885417709083e-05
1226,"edgewood, nm",2.0,83216.0,2.403383964622188e-05
3209,"oskaloosa, ia",2.0,90761.0,2.203589647535836e-05
1238,"el cajon, ca",2.0,624117.0,3.2045273562489084e-06
1239,"el campo, tx",2.0,301598.0,6.63134370917579e-06
4007,"st. helena, ca",2.0,57566.0,3.4742730083729977e-05
4006,"st. george, ut",2.0,177259.0,1.1282924985473234e-05
1247,"el toro mcas, ca",2.0,196980.0,1.015331505736623e-05
4003,st. croix,2.0,59022.0,3.388566975026261e-05
1253,"eli, ne",2.0,10857.0,0.00018421295017039698
64,"addison, tx",2.0,476875.0,4.193971166448231e-06
3999,"st. catherines, ga",2.0,89168.0,2.242957114659968e-05
3993,"st augustine, fl",2.0,88338.0,2.2640313341936653e-05
1266,"ellenwood, ga",2.0,178026.0,1.12343140889533e-05
3992,"squaw valley, ca",2.0,63017.0,3.1737467667454816e-05
